TID,Tweets,Label
6.64E+17,"as you ignore the cold homeless guy sitting outside starbucks, please be sure to complain about the 'non-christian' red cup of $5 coffee.",2
5.55E+17,french police chief killed himself after #charliehebdo attack ,1
6.86E+17,sister kyliejenner kourtneykardash at the instyleglobes bash goldenglobes ,3
5.69E+17,someone trolled twitter into thinking macklemore joined isis,1
5.29E+17,seriously?! i must be doing good in life. more fake fluffydied shit popping up. ,1
5.14E+17,three of five detainees swapped are now isis leaders claims ,1
5.32E+17,ap: iraqi officials say u.s. airstrikes have wounded the leader of the islamic state militant group abu bakr al baghdadi,2
5.34E+17,"we are running out of chocolate, warns world's largest chocolate manufacturer ",1
7.67E+17,"olympics: us women win 6th straight 4x400m-relay gold, giving allyson felix 6 career golds. ",3
7.28E+17,clinton campaign made payments to hard drive destruction company destruction of 14 hard drives hillaryclinton ?? ,2
5.00E+17,"hobby lobby asks ferguson pd for clarification: ""we thought chopping off someone's hand was the maximum penalty for shoplifting""",2
5.25E+17,at the war memorial in. ottawa. a soldier has been shot. they are giving him treatment now. breaking ,0
3.57E+17,lets start by boycotting koch industiers they paid for george zimmerman legal fees justicefortrayvon jurorb37 ,1
7.53E+17,homicide is among the top five causes of death in adolescents endviolence ,2
7.79E+17,massachusetts court finds that it’s ‘reasonable’ for black men to run from police to avoid racial profiling… ,2
7.16E+17,"it's official, berniesanders actually won nevada today. came down to 2 factors. 1. enthusiasm 2. organization ",2
5.43E+17,"very helpful to know that not only was douche harvard prof ben edelman a racist, but his students were, too",1
7.02E+17,"no, the polling doesn't prove bernie sanders won the hispanic vote in nevada ",2
6.92E+17,briton who filmed himself abusing girls as young as eight in the philippines sentenced in uk to more than 19 years ,3
4.07E+17,"r.i.p. roger rodas, the ceo/racer who died with paul walker yesterday. he was originally from santa ana, el salvador.",0
5.19E+17,"hp confirms that it's splitting into two companies. and cutting 5,000 jobs. ",0
5.50E+17,transgender teen leaves heartbreaking suicide note on tumblr before getting hit by a truck,2
5.20E+17,"kim jong un may have an injured leg - but he is still in control of north korea, source says",2
6.92E+17,"no evidence found of gunfire at naval medical center san diego, but building search continues, military says. ",3
5.24E+17,"banksy proves he hasn't been arrested, puts up new piece in bristol. take a look here",1
5.43E+17,"icymi, selena's killer & former fan club president will not be released early from prison! ",1
5.23E+17,passenger waiting for flight at washington airport isn't taking any risks ,2
5.31E+17,doritos-flavored mountain dew is a real thing ,0
7.27E+17,"we should pick a company a month. 1.1 million families join afa’s target boycott, stock takes $2.5 billion hit ",2
7.24E+17,niagara falls turned purple on the day prince died,2
5.20E+17,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. ",0
4.90E+17,u.s intel: missile that hit mh17 was most likely fired by pro-russian separatists. details,1
5.28E+17,"fanged deer pops up in afghanistan, 60 years after its last appearance ",0
5.62E+17,"the way we live is social, connecting people and information all over the world. shouldn't we work the same way? ",0
5.00E+17,confirmed: mikebrown had no criminal record. ferguson ,0
6.94E+17,donald trump is the least favorably viewed presidential candidate since at least 1992 ,3
5.25E+17,kevin vickers hailed as hero who took down attacker at parliament hill:cbcott ottnews ,0
5.37E+17,"y'all, i just read that abc paid darren wilson $500k for the interview. destroying black life remains a lucrative american career. ferguson",1
3.56E+17,just in... barackobama & department of justice file federal charges against georgezimmerman,1
6.92E+17,"onedirection's new music video for ""history"" is a walk down memory lane: 1dhistoryvideo ",3
6.94E+17,an extraordinary broadcaster - tributes paid to sir terry wogan who has died aged 77 ,3
3.65E+17,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked fukushima nuclear plant ,1
5.24E+17,"that old ""banksy arrested"" hoax is back. don't buy into it. ",1
4.07E+17,hard to believe paul walker died yesterday. no more fast & furious. way too young. rip,0
6.92E+17,"michigan gov. onetoughnerd: flintwatercrisis may affect ""many more"" children. ",3
6.94E+17,"drzuhdijasser: ""it's disgraceful that this is...the mosque that [potus] picked to be the first visit."" ffweekend ",3
3.87E+17,"barack obama has doj shut down the amber alert system...so, we can add dead kids to the lengths he's is willing to go in his shutdown game.",1
6.88E+17,from the bb vault: donald trump's dad arrested in kkk brawl with cops ,3
5.68E+17,macklemorejoinedisis,1
5.32E+17,"employees at a chick-fil-a said to be banned from using slang such as ""bae"", ""bruh"", ""ratchet"" ",1
4.07E+17,the five movie roles that made us fall in love with paul walker rippaulwalker ,0
6.93E+17,jack white and avett brothers premiered a six-part music doc at sundance. our report ,3
5.05E+17,maybe tupac is alive and we're dead.,1
5.32E+17,dead at this list of banned slang by chick-fil-a manager,1
5.22E+17,stop believing what you see on facebook. rt lilduval: so ebola was found in hair extensions? all my bitches wear weave ,1
7.41E+17,first female candidate for president was not hillaryclinton it was victoria woodhull in 1872 nhpolitics tcot ,2
5.19E+17,viral: mexico mass grave discovered after student protesters go missing ,1
5.06E+17,"i'm alive, see you soon !",1
5.69E+17,i can't believe macklemore has joined isis. what a pity macklemorejoinedisis,1
5.24E+17,goliath encounter: puppy-sized spider surprises scientist in rainforest beargrylls midnight ,0
3.87E+17,it says a lot about your worldview that you hear obama is donating a muslim museum and it makes sense to you,1
5.39E+17,"obama daughter is not pregnant. now when obama get the internet shut down on some olivia type time, we all gonna be sick",1
6.90E+17,smart people are as racist as less-smart people—but smart enough to hide it,3
6.61E+17,14 things successful people do before breakfast ,3
6.93E+17,japan's first stealth fighter unveiled ,3
6.93E+17,a tiny alpine town in northern italy just welcomed its first baby in 28 years,3
6.93E+17,"when any jew anywhere is targeted, just for being jewish, we must respond, together —potus at israelinusa ",3
7.64E+17,we've only got one planet. watch potus share the progress we've made to protect it. actonclimate ,3
5.49E+17,president of argentina adopts jewish godson to 'stop him turning into a werewolf' ,1
5.17E+17,"hong kong's protesters are using the ""hands up, don't shoot"" gesture from ferguson ",2
5.20E+17,someone spray painted a penis on a €1.9m bugatti veyron ,1
5.25E+17,update: one shooter possibly on the loose in ottawa amid reports of shootings in the city,0
4.28E+17,ex-marlboro man dies from smoking-related disease.,0
5.04E+17,antoniofrench alleged new shooting audio of michaelbrown ,0
4.90E+17,current passenger breakdown by nationality - via theage smh mh17 ,1
7.67E+17,"donald trump goes to louisiana flooding site, spends a minute handing out play-doh, leaves whereshillary",2
6.53E+17,surprising number of vegetarians secretly eat meat ,2
5.32E+17,vladimir putin’s motorcade as seen from the air. ,1
5.53E+17,"powerful image, yes. but it was drawn by lucilleclerc, not by banksy. details charliehebdo ",1
3.87E+17,"as a former federal agent i find this story hard to believe, even for this white house. spitehouse",1
6.91E+17,"internet of things security is so bad, there’s a search engine for sleeping kids ",3
5.04E+17,can new audio help the michael brown investigation? listen to what an attorney says could be key to the investigation ,0
5.11E+17,update: uk prime minister david cameron describes apparent beheading of david haines as 'an act of pure evil' ,0
7.03E+17,"kenny is considered the first tiger with down syndrome. at the age of nine, kenny died in 2008 of cancer. ",2
5.24E+17,graffiti artist banksy arrested in london; identity revealed - national report | national report ,1
5.25E+17,canadian government offices are locked down in ottawa after an armed attack,0
6.92E+17,french justice minister quits in apparent protest at plan to strip citizenship from people convicted of terrorism ,3
3.66E+17,"details: radioactive water from under fukushima has risen 60cm above protective barrier, freely leaking to ocean ",1
6.56E+17,when refusing to pay the 5p bag charge backfires.,2
4.07E+17,this is the driver that died in the accident with paul walker. don't forget about him just because he's not famous. ,0
5.37E+17,my kinda muslim women. afghan mother daughter and daughter-in-law team kills 25 taliban to avenge her son’s murder. ,2
6.92E+17,obama gently guides michelle’s hand as she maneuvers drone joystick ,3
7.26E+17,"target boycott crosses 1 million signers, stock sinks by $1.5 billion ",2
7.65E+17,"ibtihaj muhammad wins bronze in fencing, becomes first u.s. olympian to compete in a hijab",3
5.00E+17,"store owner told fox2now monday that there was a theft, but said it was not michaelbrown; said it was someone else ferguson",2
6.91E+17,"at least two people are dead in a shooting at a school in northern saskatchewan, canadian government official said ",3
5.17E+17,this little ios 8 bug deletes all your icloud data if you try and reset your settings,2
5.09E+17,microsoft to buy mojang for $2 billion - report. deal to be finalised as early as this week. ,0
5.28E+17,afghanistan has been through a lot. you know what it needs now? deer with fangs. -- god ,0
6.92E+17,reports of an active gunman at san diego navy medical centre ,3
4.07E+17,"rip roger rodas, the man who died with paul walker. rippaulwalker riprogerrodas ",0
6.94E+17,at least 45 killed in triple bombing near damascus ,3
5.60E+17,breakfast all around. ,1
6.93E+17,icymi: tom brady penned a heartfelt thank-you note to patriots fans.,3
7.49E+17,what's the no. 1 killer of americans? these rankings have changed little over the years ,2
7.24E+17,"340,000 pledge to boycott target over transgender bathroom policy ",2
5.19E+17,"hewlett-packard to split pc, printer business from corporate hardware, according to reports ",0
3.72E+17,"fukushima now in state of emergency, leaking 300 tons of radioactive water into the ocean daily learn more",1
5.00E+17,report: ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 ,2
5.17E+17,bug in ios 8's 'reset all settings' option also erases icloud drive documents by julipuli,2
6.93E+17,"is the truth out there? in nod to thexfiles, cia releases hundreds of declassified docs ",3
5.51E+17,family says 'beverly hillbillies' actress donna douglas is dead at age 81 ,0
5.25E+17,this cartoon is the perfect tribute to nathan cirillo ottawashooting ,0
5.25E+17,meet the south american goliath birdeater -- a spider the size of a puppy,0
6.93E+17,"tedcruz: ""bernie is a socialist and he admits it. hillary is a socialist and she pretends she's not."" teamcavuto ",3
3.65E+17,"japan: fukushima nuclear plant is leaking 80,000 gallons of radioactive water into ocean daily. ",1
7.01E+17,"sanders won 54% of the latino vote, according to the sample data, compared to clinton’s 43%. nvcaucus ",2
6.94E+17,quote of the day ,3
5.16E+17,"update: photo of suspect, alton nolen, in moore, okla. beheading released. ",0
5.25E+17,"breaking news: ottawa police confirm to abc news they are looking for 3 suspects, one has been 'dealt with' ",0
4.90E+17,mh17 is believed shot down with old soviet-built buk surface-to-air missile system. ,1
6.94E+17,"research on which matters more: ""leadership qualities"" or competence ",3
6.93E+17,the las vegas raiders? ,3
5.61E+17,come on texas! what's up with this? confirmed islamic tribunal using sharia law in texas URL URL,1
6.89E+17,at least three french soldiers killed in avalanche in the alps during training exercise - french media ,3
6.88E+17,"hostages taken and people killed in attack on burkina faso hotel by militants, foreign minister says ",3
6.79E+17,"you all do know it’s mostly long articles about books, right? ",3
3.87E+17,non-essential services shutdown? can someone explain to me how is essential while is not?,1
4.07E+17,tmz posted this two days before paul walker died .illuminati ,0
4.07E+17,did speed play a part in paul walker's death? ,0
6.92E+17,the always hilarious shelleyhennig has taken over the mtvteenwolf vine and it's as amazing as it sounds. ,3
6.93E+17,"up to 100 masked men, dressed in black, involved in ""migrant attack"" in stockholm ",3
5.52E+17,president obama’s daughter wears a pro era t-shirt,1
5.29E+17,"fanged deer pops up in afghanistan, 60 years after its last appearance ",0
5.25E+17,"developing story: shots fired on parliament hill, soldier shot at war memorial ottawa ",0
5.38E+17,"this young woman was shot with a nerf bullet by a ferguson police officer, she lost her eye. ",0
4.36E+17,"hot pockets recall involves meat from place fda says ""processed diseased and unsound animals. ",0
6.94E+17,stephen curry is taking—and making—more absurdly long 3-pointers than ever. ,3
6.88E+17,"al-shabab militants overrun african union base in somalia, amid unconfirmed claims of dozens of soldiers killed ",3
5.27E+17,a puppy-sized spider was found in south america and is now known as the 'south american goliath birdeater.',0
5.00E+17,darren wilson is a six year veteran of the ferguson police and had no disciplinary actions against him.,2
5.25E+17,canada parliament shooting: - still active shooter - 3 separate shooting sites - multiple gunmen - 1 gunmen dead ,0
6.93E+17,"i'm sorry, but i can't do anything today because i'll be watching #pillowtalk on repeat.",3
4.07E+17,paul walker's fast and the furious costars and more react to the actor's tragic death.,0
5.25E+17,"the canadian soldier shot at the war memorial has died, officials reported.ottawashooting ",0
4.95E+17,"riphulkhogan. you lifted weights, but you also lifted my heart.",1
6.93E+17,i almost started crying ... but i didn't want them to make me the crying face instead of jordan. --draymond green ,3
6.93E+17,"man arrested with two firearms at entrance to hotel at disneyland paris, french media report ",3
3.37E+17,fort hood shooter reportedly has drawn $278g in salary since massacre ,0
5.30E+17,wth?! michelle obama tells black ppl they can go eat fried chicken after they vote. just when u thought she could not be more ghetto.,0
5.28E+17,"wow. obama disses stay at home moms. ""that’s not a choice we want americans to make."" ",1
3.87E+17,really? amber alert website goes dark under government shutdown ,1
5.25E+17,"cpl. nathan cirillo, 24, identified as the soldier who was shot, killed at the war memorial today. cbcott ottnews ",0
5.24E+17,"he's not arrested, but he has been busy... new banksy mural appears in bristol URL (pic: banksy) ",1
4.70E+17,where is michelle obama’s hashtag for meriam ibrahim? she’s pregnant and sentenced to die ,1
2.95E+17,prayforchristopher 5k run .. well we are walking lol savannahn_2012 lemongella ,0
7.25E+17,"american family association gets 500,000 to sign petition boycotting target over its transgender bathroom policy ",2
3.87E+17,"amber alert website, which shows critical missing children bulletins, is offline due to government shutdown ",1
5.01E+17,"the first general killed in a combat zone since vietnam, it is a travesty that obama did not attend major general harold greene’s funeral",1
6.93E+17,a sloth clings to a pole in ecuador ... and so much more. see the week in 37 photos ,3
5.09E+17,breaking: microsoft is near a deal to buy minecraft maker mojang ,0
6.93E+17,"house for sale. asking price? super bowl 50 tickets. well-played, steelers fan. ",3
6.89E+17,oregon domestic terrorists now destroying public property in earnest ,3
5.58E+17,arenal is one of 6 spectacular volcanoes located in costarica. ,1
5.53E+17,banksy's response to the #charliehebdo shooting ,1
6.93E+17,let's not make the next two weeks about a 'black qb.' let's just talk about the greatness of this guy. -c. barkley ,3
7.24E+17,when your two favorite landmarks...go purple in honor of the world missing prince...beautiful.,2
7.58E+17,tim kaine & his besties the muslim brotherhood demsinphilly dncconvention ,2
4.07E+17,new info on the crash that killed paul walker rippaulwalker,0
7.16E+17,we officially won clark county (70% of the population of nevada) and washoe county +5/6 for @berniesanders -4 for hillary bernietakesnevada,2
4.90E+17,breaking: malaysia airlines passenger 'shot down' near russian border in ukraine ,1
5.32E+17,rest in peace: big bank hank of sugarhill gang dead at ,0
5.17E+17,report: nasty ios 8 bug could erase your icloud drive documents ,2
6.92E+17,"sweden's interior minister says the country intends to expel up to 80,000 migrants whose applications for asylum have been rejected",3
6.93E+17,home. ,3
5.00E+17,photos of alleged robbery involving michael brown in ferguson (via police) ,2
5.68E+17,"who from krispy kreme thought ""kkk wednesday"" would be a good idea? ",0
3.87E+17,"white house shutdown , but are posting alerts on him getting a sandwich. ",1
5.14E+17,reporter charlo green quit on air to start a marijuana business will quitting on tv pay off? ,0
6.93E+17,"why the year's most anticipated pop lp, rihanna's 'anti,' is an inward-searching curveball ",3
5.53E+17,car chase under way in paris as gunfight breaks out. reports of hostages. latest from paris.,2
5.45E+17,"update: hostages fleeing sydney cafe held by iranian gunman as explosions, gunshots are heard.",2
5.24E+17,"wtf. rt pourmecoffee: hello everyone. ""puppy-sized spider surprises scientist in rainforest"" ",0
6.94E+17,"danaperino?: ""if i were in... legal trouble, i would call hillaryclinton to find out how do you get out of it."" ",3
4.07E+17,"last picture of paul walker taken before his death in a car crash.rippaulwalker fast & furious won't be same w/o u.""",0
5.16E+17,no connection between hong kong protesters and ferguson “hands up don’t shoot” ,2
5.27E+17,"former baseball slugger jose canseco accidentally shot himself in the left hand, police say. ",0
6.83E+17,live: follow the nye2016 celebrations around the world. currently live from sydney.,3
3.87E+17,a claim that obama used the shutdown to scuttle the amber alert system reveals an ignorance about amber alerts. ,1
4.90E+17,breaking: malaysia airlines plane 'shot down' travelling from amsterdam to kuala lumpur ,1
7.43E+17,"so now we know, orlando shooter was a gay, muslim, registered democrat. no wonder liberals are trying to blame the gun. orlandoshooting",2
5.35E+17,russian boy shocked by electricity now claims he has superpowers like magneto ,2
6.94E+17,eonline started from the bottom now the whole team's here. sagawards ,3
6.93E+17,"paul kantner, founding member of jefferson airplane, dies at 74, publicist says - san francisco gate ",3
5.25E+17,soldier shot at national war memorial in ottawa ,0
7.79E+17,a black man who runs from police merely might be trying to avoid the recurring indignity of being profiled ,2
7.15E+17,"update: donald trump advocates abortion ban and ""some form of punishment"" for women who have an abortion. ",2
6.93E+17,"at least 39 migrants, including children, drown as boat sinks between turkey & greece ",3
5.16E+17,"hong kong ""hands up, don't shoot"" emulation of ferguson protests is such a powerful image.",2
4.07E+17,paul walker's friends and castmates poured out their hearts overnight rippaulwalker,0
5.14E+17,"reports: missing afghan soldiers found trying to cross into canada, source says -wcvb, 7news, nbcnews  (fixes typo)",0
5.24E+17,"researcher naskrecki on his encounter with a goliath birdeater, the world's largest spider ",0
6.49E+17,woman in hospital after confusing hair mousse with builder's foam.,2
5.17E+17,"let's please remember the victim in the ok beheading, colleen hufford-> rt ""victim was loving grandma"" ",0
6.91E+17,36 best quotes from davos 2016 ,3
5.09E+17,microsoft to buy mojang - report $2 billion deal could be signed this week ,0
5.04E+17,gonna be unreal when las vegas goes undefeated at home every year........ expansion,1
5.25E+17,meet the south american goliath birdeater -- a spider the size of a puppy.,0
6.52E+17,one third of vegetarians eat meat when they get drunk |,2
5.50E+17,"a transgender 17-year old left a suicide note on tumblr pleading ""fix society"" ",2
5.19E+17,hewlett-packard plans to split into two companies: wsj report ,0
6.40E+17,plastic bag use in wales has dropped by 71 per cent since the 5p charge was introduced ,2
4.99E+17,"currently the foxnews website has zero, repeat, zero coverage of the ferguson protests, probably due to lack of cowboy hats.",2
7.28E+17,payments to hard drive destruction company.,2
5.07E+17,"47 days after his plane was shot down over ukraine, mh17 pilot laid to rest ",1
4.07E+17,woke up to news of paul walker's death and a train derailment in the bronx that left at least 4 dead. have to remember how lucky we can be.,0
5.19E+17,hewlett-packard will split into two companies to adapt to a changing technology landscape ,0
6.93E+17,"doctor of ""concussion"" fame willing to ""bet my medical license"" that o.j. simpson has cte.",3
3.57E+17,please read! do not purchase koch products. they're paying for zimmerman's attorney fees! ,1
4.92E+17,"a russian officer ""pushed that button deliberately"" & shot down #mh17, ukrainian gov. says.",1
5.07E+17,cant believe tupac is still alive ,1
5.14E+17,breaking: missing afghan soldiers reportedly found near canadian border ,0
7.02E+17,study concluded that the clinton camp has “no statistical basis” to back claims that it won latino vote in nv.,2
6.93E+17,the typical woman who works full-time still earns 79 cents for every dollar the typical man does. —potus,3
5.07E+17,betty white is victim of death hoax after fans misread satirical story about 92-year-old's dye job ,1
6.93E+17,the real takeaway from the gopdebate? this ted cruz snub. ,3
6.88E+17,"ninety took drug in french clinical trial that left one brain-dead and five more hospitalised, health minister says ",3
5.15E+17,"quite a design flaw rt nymag: if you sit with your iphone 6 plus in your pocket, it bends beyond repair ",1
7.42E+17,"because the orlando shooter who murdered gay people was a registered democrat and muslim, the media is going silent. ",2
6.92E+17,teacher picks wrong student to believe in every fucking year ,3
6.93E+17,russian fighter came within 15 feet of u.s. air force jet.,3
5.62E+17,madden 15' predicted the patriots would win 28-24. which is exactly what happened. ,0
5.25E+17,witness tells cbcnews suspected shooter of uniformed soldier at ottawa's war memorial was carrying rifle.,2
5.25E+17,"parliament hill in lockdown after soldier shot at ottawa's war memorial, just south of east block.",0
3.65E+17,water leaks at fukushima could contaminate entire pacific ocean ,1
6.90E+17,"taliban says it is behind bachakhanuniattack that left at least 19 dead, pakistani media report ",3
6.98E+17,nevada focus group of pbsdebate says berniesanders won tonight's debate by a 25 to 9 margin.,2
5.53E+17,"it ain't banksy! meet lucilleclerc, artist behind the iconic charliehebdo pencil tribute ",1
7.66E+17,"american swimmers who claimed that they were robbed in rio should apologize to residents, brazilian police said. ",3
4.90E+17,latest so far on shot down malaysia airlines plane mh17 ,1
3.56E+17,*breaking news* obama administration files federal charges against george zimmerman! ontheroadtojustice,1
4.28E+17,"eric lawson, former 'marlboro man' in cigarette ads dies of smoking-related disease ",0
3.56E+17,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good,1
5.17E+17,"okla beheading victim colleen hufford, rest in peace beheading jihad jahkeemyisrae",0
5.52E+17,president's daughter malia obama spotted wearing a pro era t-shirt ,1
7.60E+17,pray for parents and school leadership to have wisdom to refuse these after school satan clubs! ,2
4.90E+17,ukrainian minister says rebels shot down mh17 malaysia airlines plane ,1
6.52E+17,maximum-security inmates just destroyed the harvard debate team in prison competition. ,3
7.66E+17,"us justice department will phase out use of privately owned prisons, citing safety concerns ",3
5.22E+17,"christian bale in talks to play steve jobs in danny boyle's #jobs, written by aaron sorkin. ",2
5.00E+17,mikebrown wanted to walk down the street. and he is dead. and the ferguson pd is using his silence in death to make him a criminal.,2
5.00E+17,it appears that ferguson pd are trying to assassinate mike brown's character after literally assassinating mike brown.,2
3.64E+17,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant,1
3.87E+17,"obama has taken down amber alert website during shutdown, but michelle's let's move site is still up. at least missing kids won't be thirsty",1
7.65E+17,man who died after being shot with taser by police in shropshire believed to be ex-football star dalian atkinson ,3
4.07E+17,r.i.p rodger rodas the guy no one seems to care about because he's not famous (died with paul walker) ,0
7.68E+17,"realdonaldtrump's son, eric, slams hillaryclinton & potus for their response to flooding in louisiana. ",3
5.53E+17,"three more passport stamps, three more data centers. give a big welcome to tokyo, mexico city and frankfurt. ",1
5.32E+17,rt cl_lfc: “usvsth3m: vladimir putin’s motorcade looks suspiciously like a massive. ”,1
7.57E+17,victoria woodhull ran for us president 144 years before hillary clinton ,2
5.25E+17,prime minister harper on ottawa attack: 'we will not be intimidated. canada will never be intimidated' - live video,0
4.07E+17,“r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous” ,0
3.87E+17,obama keeps michelle's  site running despite the shutdown but URL is shutdown because? spitehouse,1
6.91E+17,deadline to enroll for 2016 health coverage is almost here—sign up by jan. 31: getcovered,3
5.08E+17,betty white never die she my lady still i never have the sex with her,1
5.15E+17,iphone 6 plus owners are complaining that their phones are actually bending.,1
6.93E+17,lego reveals new young disabled figure after #toylikeme campaign ,3
7.29E+17,afa' rios: target's transgender bathroom policy is 'push from the left to deconstruct the family' breitbartnews,2
5.45E+17,"several more hostages flee from cafe under siege in sydney, local media say ",2
7.67E+17,"olympics: matthew centrowitz wins men's 1,500m race, first gold for us in event since 1908. ",3
5.11E+17,life in obama's america: govt officials threaten to prosecute american families for trying to save their loved ones ,2
7.65E+17,"rip kenny baker, the actor behind legendary star wars droid r2-d2.",3
6.94E+17,"saudi prince takes on trump on twitter: ""i bailed you out twice"" ",3
5.48E+17,well this makes us feel old... the sunshine baby from the teletubbies is 19 and at uni! ,2
5.25E+17,conservative caucas informed soldier shot at war memorial in ottawa this morning has died. a sad development on a shocking day.,0
7.80E+17,"well, this is a new one: chelsea clinton implies that marijuana can kill you. 2016, y’all. mmot p2 tcot tlot",2
5.19E+17,"in announcing split, hewlett-packard also boosted the number of its expected layoffs by 5,000 to 55,000. $hpq",0
4.07E+17,r.i.p to roger rodas who died alongside paul walker ,0
6.92E+17,uk to accept some child refugees from syria and other conflict zones but not those who have fled to europe ,3
6.89E+17,we still have sanctions on iran for its violations of human rights—for its support for terrorism &...its ballistic missile program —potus,3
4.07E+17,r.i.p roger rodas the man who died with paul walker that everybody forgot about.. rippaulwalker riprogerrodas ,0
5.51E+17,19-year-old girl wakes up during brain surgery to ask doctors: ‘how’s it going?’ ,0
7.67E+17,donald trump's campaign chairman paul manafort resigns ,3
5.40E+17,"powerful' wife & son of isis leader abu bakr al-baghdadi have been arrested, sources to cnn ",2
6.93E+17,"u.s. navy sends ship near contested island in south china sea to challenge claims by china, taiwan and vietnam. ",3
5.62E+17,"madden nfl 15 not only predicted a patriots victory over the seahawks, but also predicted the final score of 28-24: ",0
4.07E+17,"ap video: police say speed was a factor in an l.a. crash that killed 2, including ""fast & furious"" actor paul walker: ",0
5.17E+17,coming 2 america soon! .kfc bans alcohol-based wet wipes so muslims aren’t offended tcot ,1
6.88E+17,we're keeping céline dion in our thoughts--her brother daniel has died of cancer at age 59: ,3
2.73E+17,42 million dead in bloodiest black friday weekend on record,1
4.28E+17,actor who played marlboro man in ads dies from smoking-related disease,0
6.93E+17,maoist cult leader aravindan balakrishnan jailed for 23 years for string of sex assaults in london ,3
5.24E+17,now he's a one-handed scientist rt cbsnews: puppy-sized spider surprises scientist in rainforest ,0
5.35E+17,magneto boy v science adult: we pit a 'magnetic' russian child against a grown-up scientist. ,2
5.18E+17,oklahoma prosecutor files formal notification that he will seek death penalty for beheading suspect altonnolen. kellyfile,0
5.54E+17,breaking: at least 2 killed in paris hostage situation via afp ,2
6.93E+17,person one season ahead in tv show doling out counsel like wise elder ,3
5.16E+17,"workplace hero shoots altonnolen stabbings beheading priors drugs/manhunt, recent radical convert judicialgrinds ",0
4.36E+17,nestlé usa has issued a recall of hot pockets. see the varieties affected: ,0
7.55E+17,ohio police officer hospitalized after eating shards of glass in sandwich from columbus restaurant blackliesmatter ,2
6.92E+17,top snowfall totals by state blizzard2016 ,3
5.25E+17,breaking news: cbs reports multiple suspects at large after more than 30 shots fired at canadian parliament ,0
6.88E+17,"he was severus snape. he was the sheriff of nottingham. he was alexander dane. he was, of course, hans gruber. we are devastated.",3
5.51E+17,"donna douglas, who played elly may on ""beverly hillbillies,"" has died at 81:  (bill haber, ap) ",0
6.93E+17,"oracle is finally killing, java. rest in hell, java. ",3
5.00E+17,"question for ferguson police chief? if officer darren wilson was in pursuit of a robbery suspect, why tell kids to get out of the road? lie",2
5.13E+17,sean combs hoax: puff daddy arrested in tupac shakur murder totally fake; p diddy is ok' ,1
3.65E+17,"revealed: fukushima leaking radioactive water for ‘2 years’, 300 tons flowing into pacific daily ",1
4.91E+17,"ukrainian military jet was flying close to mh17 before it was shot down, says russian officer ",1
4.90E+17,"pro-russian rebel leader in leaked audio: ""cossacks"" shot down the plane mh17 ",1
6.92E+17,have you seen our exclusive batmanvsuperman pics yet? ,3
3.87E+17,"obama administration shuts down amber alert site, blames ""confusion."" don't worry. they're still in charge of your health care.",1
7.49E+17,obama cuts military pay 4third year in a row isis 2nd terrorist attack in a week wakeupamerica r u ok w this? 2a ,2
6.93E+17,"first on cnn: tommychong wants berniesanders for next ""commander in kush"" ",3
3.18E+17,a photo of black nurses saving the life of a kkk member. ,1
6.92E+17,"ex-new york giants safety tyler sash, who died at 27, found to have degenerative brain disease c.t.e. - ny times ",3
5.14E+17,iphone 6 users report that their phones are bending in their pockets... lol. ,1
6.94E+17,"one person dead, many taken to hospital after shootings, stabbing at denver coliseum, police say. ",3
5.02E+17,"78 were arrested overnight in ferguson, more than double the total reported by authorities ",1
4.07E+17,paul walker's death brought out the worst in some twitter users. i compiled the stupidity for vice,0
6.89E+17,"we’ve achieved this historic progress through diplomacy, without resorting to another war in the middle east. —potus irandeal",3
5.25E+17,update: reports of gunfire inside the halls of the canadian parliament building in ottawa: ,0
5.07E+17,"more: tesla motors picks nevada as home of new electric car battery factory, beating 4 other states:",0
7.07E+17,president obama to skip nancy reagan’s funeral in order to attend south by southwest:  ,2
7.16E+17,bernie sanders has won the nevada caucus nvcaucus ,2
5.34E+17,isis executioner 'jihadi john' reported wounded in air strike  ,2
5.24E+17,"hello everyone. ""puppy-sized spider surprises scientist in rainforest""",0
5.24E+17,i feel some type of way. ,1
4.07E+17,r.i.p to the driver who died with paul walker that no one cares about because he wasn't famous.,0
6.94E+17,"dozens of people were killed in car bomb, 2 suicide bombings near damascus, syria, state media says. ",0
5.04E+17,nhl expansion to las vegas is reportedly 'a done deal.' ,1
7.45E+17,causes of death in usa in 2016 (through june 15) ,2
4.07E+17,r.i.p to the driver who died with paul walker that no one cares about because he wasn’t famous.,0
5.34E+17,17yr old kyliejenner says she pregnant by 24yr old rapper tyga (full video) ,1
4.90E+17,vp biden: malaysia airlines #mh17 was 'shot down not an accident. blown out of the sky.' ,1
5.23E+17,ebola is not real and the only people who have gotten sick are those who got shots fr the red cross ,1
4.07E+17,paul walker died shortly after attending a charity event for his organization reach out worldwide ,0
5.38E+17,"this young woman was shot with a nerf bullet by a #ferguson police officer, she lost her eye. humanrights nyc rt ",0
